id,company_name,city,state,country,zipcode,url,date_updated,company_category,profession,industry,source_site,avarage_rating,total_reviews,susp_count,non_susp_count
247,Alpha Dental Akron,Akron,OH,USA,44319,https://maps.google.com/?cid=13541562608686149465,2021-04-04T09:07:49.000000Z,Dentist,Health,Point of interest,google,4.4,63,51,14
246,Aspen Dental,Akron,OH,USA,44312,https://maps.google.com/?cid=1608387233824165848,2021-04-04T09:07:41.000000Z,Dentist,Doctor,Health,google,4.3,142,113,28
245,"Fairlawn Dental Care: Mark C. Rigby, DMD",Akron,OH,USA,44333,https://maps.google.com/?cid=6332614298621353088,2021-04-04T09:07:33.000000Z,Dentist,Doctor,Health,google,5,196,158,39
242,Arlington Dental,Akron,OH,USA,44312,https://maps.google.com/?cid=15131780217226479529,2021-04-04T09:07:05.000000Z,Dentist,Health,Point of interest,google,4.8,89,65,24
239,DentalWorks South Plaza,Akron,OH,USA,44319,https://maps.google.com/?cid=11997000937311709958,2021-04-03T07:57:12.000000Z,Dentist,Doctor,Health,google,4.7,242,194,48
238,"Jennifer J. Jerome, DDS",Akron,OH,USA,44301,https://maps.google.com/?cid=6077683761334581384,2021-04-03T07:57:04.000000Z,Dentist,Doctor,Health,google,4.5,10,6,4
237,Akron Smiles Dental Center,Akron,OH,USA,44306,https://maps.google.com/?cid=3648018567139250016,2021-04-03T07:56:57.000000Z,Dentist,Health,Point of interest,google,3.7,157,101,57
235,Great Expressions Dental Centers,Akron,OH,USA,44310,https://maps.google.com/?cid=5091915872134333819,2021-04-03T07:51:09.000000Z,Dentist,Health,Point of interest,google,4.8,166,126,40
257,Accident Injury Law,Miami,FL,USA,33130,https://maps.google.com/?cid=8206643572829528616,2021-03-30T19:33:57.000000Z,Lawyer,Point of interest,Establishment,google,4.8,26,19,6
256,The Derrick Law Firm,Myrtle Beach,SC,USA,29577,https://maps.google.com/?cid=6825066766805525117,2021-03-30T19:33:50.000000Z,Lawyer,Point of interest,Establishment,google,5,544,413,131
255,Traffic Law & DWI Counselors BUCKS.com,St. Louis,MO,USA,63102,https://maps.google.com/?cid=3146983287531393050,2021-03-30T19:33:40.000000Z,Lawyer,Local government office,Point of interest,google,5,120,79,41
218,Smiles by Julia,Fort Lauderdale,FL,USA,33308,https://maps.google.com/?cid=4514975222869314437,2021-03-25T07:44:04.000000Z,Dentist,Health,Point of interest,google,4.9,279,200,81
217,Westberry Dental,South Daytona,FL,USA,32119,https://maps.google.com/?cid=4874111708637151686,2021-03-25T07:43:56.000000Z,Dentist,Health,Point of interest,google,4.9,142,114,30
213,Smile Design Dental of Fort Lauderdale,Fort Lauderdale,FL,USA,33308,https://maps.google.com/?cid=13289785974287588225,2021-03-25T07:43:48.000000Z,Dentist,Health,Point of interest,google,4.9,261,162,99
211,Florida Smile Studio,Fort Lauderdale,FL,USA,33301,https://maps.google.com/?cid=11417830786624488618,2021-03-25T07:43:39.000000Z,Dentist,Health,Point of interest,google,4.8,280,183,98
209,Dental Creations of Daytona Beach,Daytona Beach,FL,USA,32117,https://maps.google.com/?cid=12531125235686722545,2021-03-25T07:43:31.000000Z,Dentist,Doctor,Health,google,4.9,52,39,13
207,Affordable Dentures & Implants,Daytona Beach,FL,USA,32114,https://maps.google.com/?cid=11187851700842059240,2021-03-25T07:43:22.000000Z,Dentist,Health,Point of interest,google,4.4,337,222,114
204,Lakeside Daytona Dentist,Daytona Beach,FL,USA,32117,https://maps.google.com/?cid=15138792815142475434,2021-03-25T07:43:14.000000Z,Dentist,Health,Point of interest,google,4.9,646,424,218
202,"Dr. Gretchen Jungermann, DMD",Daytona Beach,FL,USA,32119,https://maps.google.com/?cid=15709193664326395553,2021-03-25T07:43:04.000000Z,Dentist,Health,Point of interest,google,4.9,358,234,126
132,South Boston Family Dental,Boston,MA,USA,2127,https://maps.google.com/?cid=18153131281076809477,2021-03-25T07:42:53.000000Z,Dentist,Doctor,Health,google,4.9,245,188,63
201,Icon Dental Denver,Denver,CO,USA,80202,https://maps.google.com/?cid=10641619935276659063,2021-03-23T19:34:56.000000Z,Dentist,Health,Point of interest,google,4.7,283,187,96
200,Premier Smile Center,Fort Lauderdale,FL,USA,33306,https://maps.google.com/?cid=10225022340777010524,2021-03-23T19:34:47.000000Z,Dentist,Doctor,Health,google,4.9,407,299,111
192,Coast Dental,Daytona Beach,FL,USA,32114,https://maps.google.com/?cid=1205752606978880405,2021-03-23T19:34:35.000000Z,Dentist,Doctor,Health,google,3.5,87,55,32
113,Dental Partners of Boston at Prudential Center,Boston,MA,USA,2199,https://maps.google.com/?cid=17377659614590681731,2021-03-23T19:34:28.000000Z,Dentist,Health,Point of interest,google,4.5,111,90,25
109,Gentle Dental South Boston,Boston,MA,USA,2127,https://maps.google.com/?cid=16157579140329135365,2021-03-23T19:34:17.000000Z,Dentist,Doctor,Health,google,4.8,107,77,30
108,Dental Town DC - Best Dentist DC,Washington,DC,USA,20005,https://maps.google.com/?cid=12460691910439350390,2021-03-23T19:34:09.000000Z,Dentist,Doctor,Health,google,4.9,264,167,106
57,Fort Worth Dental,Fort Worth,TX,USA,76132,https://maps.google.com/?cid=13455474486078285130,2021-03-23T19:34:00.000000Z,Dentist,Health,Point of interest,google,4.9,427,304,124
216,Gentle Dental,Daytona Beach,FL,USA,32114,https://maps.google.com/?cid=15743432865932519201,2021-03-22T14:40:09.000000Z,Dentist,Health,Point of interest,google,4.8,55,40,13
215,Indigo Dental of Daytona Beach,Daytona Beach,FL,USA,32114,https://maps.google.com/?cid=7654760160838364211,2021-03-22T14:40:02.000000Z,Dentist,Health,Point of interest,google,4.9,101,77,23
214,Emergency Dental of Denver,Denver,CO,USA,80220,https://maps.google.com/?cid=14952769354385717684,2021-03-22T14:39:53.000000Z,Dentist,Health,Point of interest,google,4.6,349,262,83
